shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
-5.10,-88.40,17.10,85.85,92.53,2.91
-5.01,-88.40,17.10,85.85,92.53,2.91
-5.01,-88.40,17.10,85.85,92.53,2.91
-5.01,-88.40,17.10,85.85,92.53,2.91
-5.01,-88.40,17.01,85.85,92.53,2.91
-5.01,-87.69,16.75,85.85,92.53,2.91
-4.92,-87.34,16.57,85.85,92.53,2.91
-4.92,-86.02,16.57,85.85,92.53,2.91
-4.92,-82.15,16.04,85.14,92.79,2.91
-4.92,-75.47,13.58,85.14,92.70,2.91
-4.92,-67.47,7.96,85.14,92.44,2.91
-4.92,-60.26,0.22,85.14,92.44,2.91
-4.92,-52.44,-9.63,85.14,92.44,2.91
-4.92,-39.78,-24.22,85.14,92.35,2.91
-4.92,-31.16,-33.71,85.14,92.35,2.91
-4.92,-22.90,-42.68,85.05,92.35,2.91
-4.92,-14.99,-50.51,85.05,92.35,2.91
-4.92,-7.78,-57.19,85.05,92.35,2.91
-4.75,4.00,-65.45,82.68,92.26,2.91
-3.96,13.14,-69.58,78.99,92.26,2.91
-1.32,22.02,-72.92,73.80,92.26,2.91
1.76,31.08,-75.30,67.30,92.26,2.91
4.57,39.87,-76.53,61.23,92.26,2.91
7.74,47.52,-77.05,57.10,92.35,2.91
10.37,52.97,-77.05,54.73,92.35,2.91
11.87,54.90,-76.70,54.64,92.35,2.91
12.40,55.52,-76.53,54.81,92.35,2.91
12.48,55.43,-76.53,54.81,92.35,2.91
12.22,55.43,-76.53,55.87,92.35,2.91
12.22,55.60,-76.44,58.86,92.35,2.91
12.04,55.69,-76.44,63.43,92.35,2.91
11.87,55.96,-76.44,68.70,92.35,2.91
11.60,57.36,-76.44,72.04,92.35,2.91
11.60,60.53,-76.97,72.31,92.62,2.91
11.78,63.25,-77.05,72.13,92.70,2.91
11.78,64.57,-77.14,70.81,92.79,2.91
11.43,65.01,-77.14,68.70,92.88,2.91
11.25,65.10,-76.70,66.68,92.88,2.91
10.99,65.10,-76.62,65.45,92.88,2.91
10.11,65.19,-76.62,65.36,92.88,2.91
9.67,65.19,-76.62,65.19,92.88,2.91
9.58,65.19,-76.62,65.19,92.88,2.91
9.23,65.19,-76.79,65.10,92.88,2.91
9.05,65.10,-76.88,65.10,92.88,2.91
9.05,65.10,-76.88,65.10,92.88,2.91
9.05,64.84,-76.97,65.10,92.44,2.97
9.14,64.66,-77.05,65.10,92.44,3.03
9.14,64.66,-77.05,65.10,92.35,4.21
9.14,64.48,-77.14,65.10,92.35,5.94
9.32,64.48,-77.14,65.10,92.35,8.67
9.49,64.57,-77.14,65.54,92.35,12.38
9.67,64.66,-77.14,65.54,92.35,16.35
9.85,64.66,-77.14,65.45,92.35,20.62
9.93,64.75,-77.14,65.45,92.35,24.71
10.02,64.84,-77.14,65.19,92.35,28.61
10.02,64.84,-77.14,65.19,92.35,32.26
10.20,64.92,-77.14,65.19,92.35,35.42
10.46,64.92,-77.14,65.10,92.35,37.46
10.90,64.84,-77.14,65.10,92.35,38.14
10.90,64.57,-77.14,65.10,92.35,38.14
10.73,63.78,-77.32,65.19,92.44,38.02
10.64,59.91,-78.37,65.71,92.44,37.89
10.64,54.99,-78.90,65.71,92.44,36.53
10.55,50.95,-78.73,65.80,92.44,32.63
10.46,47.87,-78.73,66.33,92.44,26.32
9.85,45.05,-78.73,68.35,92.44,18.08
9.32,41.80,-78.73,71.69,92.44,8.79
9.23,38.46,-78.99,75.65,92.44,1.24
9.32,34.68,-79.25,78.81,92.44,1.05
9.85,29.49,-79.25,81.19,92.44,3.59
10.02,22.90,-79.25,82.59,92.44,4.15
11.25,16.04,-78.81,83.82,92.44,4.15
14.33,9.36,-78.81,85.49,92.44,4.21
17.41,3.38,-78.73,87.87,92.35,4.27
20.04,-0.75,-78.64,91.38,92.35,4.27
22.95,-2.86,-78.64,96.92,92.26,4.27
26.64,-3.74,-78.64,103.34,92.26,4.27
30.68,-4.18,-78.64,105.27,92.26,4.27
34.02,-5.23,-78.55,104.66,92.26,4.27
36.66,-5.76,-78.02,104.66,92.26,4.27
39.38,-6.11,-75.91,104.66,92.26,4.27
44.22,-6.29,-70.90,104.66,92.26,4.27
49.67,-8.04,-65.45,104.66,92.26,4.27
55.30,-11.82,-57.98,104.40,92.26,4.27
59.52,-16.22,-48.84,104.22,92.35,4.27
62.51,-22.29,-38.46,104.04,92.70,4.27
64.18,-29.41,-27.74,103.96,92.79,4.27
65.32,-36.79,-16.57,103.25,92.79,4.27
66.29,-44.09,-5.05,100.09,92.79,4.27
67.08,-51.03,6.55,94.29,92.79,4.27
68.13,-58.33,18.59,87.69,92.79,4.27
69.80,-65.63,31.52,81.19,92.79,4.27
