shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
85.80,-106.42,98.07,80.31,95.60,3.59
85.80,-106.42,98.07,80.31,95.60,3.59
85.80,-106.33,98.15,80.31,95.60,3.59
85.80,-106.15,98.15,80.31,95.60,3.59
85.80,-105.63,98.15,80.31,95.60,3.59
85.71,-103.16,97.89,80.57,95.60,3.59
85.71,-98.07,97.71,79.96,95.52,3.59
85.71,-91.65,97.10,78.20,95.43,3.59
85.89,-84.88,94.55,75.21,95.43,3.59
85.89,-77.93,89.80,73.63,95.43,3.59
85.98,-71.60,83.74,73.36,95.43,3.59
85.98,-66.24,76.62,73.45,95.43,3.59
85.98,-61.32,69.23,73.45,95.43,3.59
85.98,-56.75,61.76,73.45,95.60,3.59
85.98,-51.91,54.99,73.45,95.96,3.59
85.98,-46.37,49.10,73.45,95.96,3.59
85.89,-36.26,40.84,73.45,95.96,3.59
85.89,-30.02,35.47,73.45,95.96,3.59
85.89,-23.69,29.76,73.45,96.04,3.59
85.89,-17.01,24.13,73.45,96.04,3.59
85.89,-10.59,18.59,73.45,96.04,3.59
85.80,-4.88,13.32,73.54,96.04,3.59
85.80,-0.22,8.92,73.54,96.04,3.59
85.80,3.47,5.58,73.63,96.04,3.59
85.80,5.41,4.18,74.15,96.04,3.59
85.80,5.85,3.82,75.74,96.04,3.59
85.80,5.76,3.82,77.93,95.69,3.59
85.80,5.67,3.74,80.57,95.52,3.59
85.89,5.67,3.65,82.68,95.52,3.59
85.89,5.67,3.56,84.18,95.78,3.59
85.71,5.67,3.56,84.70,95.87,3.59
85.71,5.67,3.56,84.79,95.87,3.59
85.80,5.67,3.56,84.97,95.69,3.59
85.89,5.76,3.56,84.97,95.69,3.59
85.98,5.76,3.65,85.05,95.69,3.59
85.98,5.76,3.65,85.05,95.60,3.59
85.98,5.76,3.65,85.05,95.60,3.59
85.98,5.76,3.65,84.70,95.69,3.59
85.98,5.76,3.56,84.70,95.78,3.59
85.98,5.67,3.56,84.79,95.69,3.59
85.89,5.67,3.56,85.05,95.60,3.65
85.89,5.67,3.56,85.14,95.52,3.65
85.80,5.67,3.56,85.14,95.52,3.72
85.71,5.67,3.56,85.14,95.52,3.72
85.63,5.67,3.56,85.14,95.52,3.96
